"""What is your primary affiliation with Harvard?""","""What question do you have about teaching and learning?""","""I have proposed that successive relearning is a highly effective strategy for students to use when studying.  Are you enthusiastic skeptical or somewhere in between?""","""Do you feel confident that the depth duration and sequence of this curriculum provides students with the practice they need to think critically about standard problems in your discipline?"""
,,Somewhere in between,No
Harvard Medical School (including HSDM),,Enthusiastic,Yes
,How do you support continuous professional learning for teachers?,,
Faculty of Arts and Sciences,,Enthusiastic,No
School of Engineering and Applied Sciences,,Enthusiastic,Yes
Faculty of Arts and Sciences,,Enthusiastic,No
Faculty of Arts and Sciences,,Enthusiastic,No
Radcliffe Institute for Advanced Study,,Enthusiastic,No
Central Administration,,Enthusiastic,No
Faculty of Arts and Sciences,,Somewhere in between,No
Harvard Divinity School,,Somewhere in between,No
Harvard Medical School (including HSDM),,Somewhere in between,Yes
Other,How do you balance the need for students to master material and the need for students to question what they are being told?,Enthusiastic,No
Harvard Graduate School of Education,Pipeline for translating ed research into practice? Models that stress accessibility rather than profit.,Somewhere in between,Yes
Harvard School of Public Health,,Enthusiastic,No
Faculty of Arts and Sciences,,Enthusiastic,Yes
Central Administration,,,No
Harvard Graduate School of Education,,Somewhere in between,Yes
Harvard Medical School (including HSDM),"Following on one of the other questions below (about notecards/flashcards), I'm curious to know if Katherine Rawson has any data on successive relearning for concepts (as from more advanced classes) vs. content/intro concepts. Is successive learning effective beyond intro-level courses?",Somewhere in between,No
Central Administration,,Somewhere in between,
Harvard Law School,,Enthusiastic,Yes
School of Engineering and Applied Sciences,,,Yes
Harvard Kennedy School,,Enthusiastic,
Harvard Medical School (including HSDM),How do you manage students' feelings of entitlement to their preferred learning styles when they may be at odds with your approach to teaching?,Enthusiastic,No
Faculty of Arts and Sciences,,Enthusiastic,No
Faculty of Arts and Sciences,,Skeptical,Yes
Harvard Medical School (including HSDM),,Somewhere in between,No
Harvard Graduate School of Education,,Enthusiastic,
Harvard Kennedy School,,,No
Faculty of Arts and Sciences,,Skeptical,No
Harvard Law School,,Enthusiastic,No
Graduate School of Design,,,
Faculty of Arts and Sciences,"How do we differentiate learning from memorization? Isn't successive relearning just memorization?, What have been your most memorable experiences as a teacher and why?, I'd like to know more about the FIELD method",Somewhere in between,No
Harvard Medical School (including HSDM),,Enthusiastic,No
Faculty of Arts and Sciences,,,No
Faculty of Arts and Sciences,,,Yes
Harvard Graduate School of Education,How do we consider or factor the way assessments are designed and courses are structured in how well learners learn and retain concepts. Isn't successive relearning trying to address problems that we have created because of how we choose to teach?,,
Faculty of Arts and Sciences,,,
Faculty of Arts and Sciences,,Enthusiastic,
Faculty of Arts and Sciences,,,
Division of Continuing Education,,Enthusiastic,No
Faculty of Arts and Sciences,,Enthusiastic,No
